Event,Zone,Region,Category,Start Date,End Date,Year,Insured Cost,NSW,VIC,QLD,ACT,TAS,SA,NT,WA,Waters
Landslide - Adelaide Hills,South Australia,Adelaide,Landslide,1928-01-31,1928-01-31,1928,700000.0,0,0,0,0,0,1,0,0,0
Other Disasters- Cowra POW Attempted Mass Escape,New South Wales,Dubbo,Other Disasters,1944-08-05,1944-08-15,1944,700000.0,1,0,0,0,0,0,0,0,0
Other Disasters - Wartime Bombing Raids,Northern Territory,Darwin,Other Disasters,1942-02-19,1942-02-19,1942,700000.0,0,0,0,0,0,0,1,0,0
"Severe Storm - Thunderstorm Asthma, 2016",Victoria,Melbourne,Storm,2016-11-21,2016-11-22,2016,180000000.0,0,1,0,0,0,0,0,0,0
"Severe Storm - Extreme weather and statewide power failure, South Australia, 2016",South Australia,South Australia,Storm,2016-09-28,2016-11-01,2016,180000000.0,0,0,0,0,0,1,0,0,0
"Hail - North Sydney hailstorm, 2017",New South Wales,North Sydney,Storm,2017-02-18,2017-02-18,2017,328000000.0,1,0,0,0,0,0,0,0,0
Hail - Sydney,New South Wales,Sydney,Storm,2007-12-09,2007-12-09,2007,415000000.0,1,0,0,0,0,0,0,0,0
Hail - Lismore,New South Wales,Lismore (NSW),Storm,2007-10-08,2007-10-09,2007,97000000.0,1,0,0,0,0,0,0,0,0
Hail - Hunter Valley,New South Wales,Sydney,Storm,2006-10-31,2006-10-31,2006,31000000.0,1,0,0,0,0,0,0,0,0
Hail - Sydney Hailstorm,New South Wales,Sydney,Storm,2015-04-25,2015-04-25,2015,470819649.0,1,0,0,0,0,0,0,0,0
Hail - Lake Grace,Western Australia,Bunbury,Storm,2005-10-16,2005-10-16,2005,10000000.0,0,0,0,0,0,0,0,1,0
Storm - Severe storm Sydney,New South Wales,Sydney,Storm,2015-12-16,,2015,220000000.0,1,0,0,0,0,0,0,0,0
Hail - Gold Coast ,Queensland,Brisbane,Storm,2005-10-12,2005-10-12,2005,61000000.0,0,0,1,0,0,0,0,0,0
Hail - Brisbane,Queensland,Brisbane,Storm,2005-05-19,2005-05-19,2005,17600000.0,0,0,1,0,0,0,0,0,0
Hail - South East Queensland,Queensland,Brisbane,Storm,2004-01-24,2004-01-31,2004,28500000.0,0,0,1,0,0,0,0,0,0
Hail - South East Queensland,Queensland,Bundaberg,Storm,2004-01-24,2004-01-31,2004,28500000.0,0,0,1,0,0,0,0,0,0
Hail - South East Queensland,Queensland,Lismore (QLD),Storm,2004-01-24,2004-01-31,2004,28500000.0,0,0,1,0,0,0,0,0,0
Hail - Sydney,New South Wales,Sydney,Storm,1999-04-14,1999-04-14,1999,1700000000.0,1,0,0,0,0,0,0,0,0
Hail - Brisbane and Region,Queensland,Brisbane,Storm,1998-12-16,1998-12-16,1998,76000000.0,0,0,1,0,0,0,0,0,0
Hail - Singleton,New South Wales,Sydney,Storm,1996-12-11,1996-12-11,1996,49000000.0,1,0,0,0,0,0,0,0,0
Hail - Armidale and Tamworth,New South Wales,Tamworth,Storm,1996-09-29,1996-09-29,1996,104000000.0,1,0,0,0,0,0,0,0,0
